"Participant_Activity" "tBodyAcc-mean-X" "tBodyAcc-mean-Y" "tBodyAcc-mean-Z" "tBodyAcc-std-X" "tBodyAcc-std-Y" "tBodyAcc-std-Z" "tGravityAcc-mean-X" "tGravityAcc-mean-Y" "tGravityAcc-mean-Z" "tGravityAcc-std-X" "tGravityAcc-std-Y" "tGravityAcc-std-Z" "tBodyAccJerk-mean-X" "tBodyAccJerk-mean-Y" "tBodyAccJerk-mean-Z" "tBodyAccJerk-std-X" "tBodyAccJerk-std-Y" "tBodyAccJerk-std-Z" "tBodyGyro-mean-X" "tBodyGyro-mean-Y" "tBodyGyro-mean-Z" "tBodyGyro-std-X" "tBodyGyro-std-Y" "tBodyGyro-std-Z" "tBodyGyroJerk-mean-X" "tBodyGyroJerk-mean-Y" "tBodyGyroJerk-mean-Z" "tBodyGyroJerk-std-X" "tBodyGyroJerk-std-Y" "tBodyGyroJerk-std-Z" "tBodyAccMag-mean" "tBodyAccMag-std" "tGravityAccMag-mean" "tGravityAccMag-std" "tBodyAccJerkMag-mean" "tBodyAccJerkMag-std" "tBodyGyroMag-mean" "tBodyGyroMag-std" "tBodyGyroJerkMag-mean" "tBodyGyroJerkMag-std" "fBodyAcc-mean-X" "fBodyAcc-mean-Y" "fBodyAcc-mean-Z" "fBodyAcc-std-X" "fBodyAcc-std-Y" "fBodyAcc-std-Z" "fBodyAcc-meanFreq-X" "fBodyAcc-meanFreq-Y" "fBodyAcc-meanFreq-Z" "fBodyAccJerk-mean-X" "fBodyAccJerk-mean-Y" "fBodyAccJerk-mean-Z" "fBodyAccJerk-std-X" "fBodyAccJerk-std-Y" "fBodyAccJerk-std-Z" "fBodyAccJerk-meanFreq-X" "fBodyAccJerk-meanFreq-Y" "fBodyAccJerk-meanFreq-Z" "fBodyGyro-mean-X" "fBodyGyro-mean-Y" "fBodyGyro-mean-Z" "fBodyGyro-std-X" "fBodyGyro-std-Y" "fBodyGyro-std-Z" "fBodyGyro-meanFreq-X" "fBodyGyro-meanFreq-Y" "fBodyGyro-meanFreq-Z" "fBodyAccMag-mean" "fBodyAccMag-std" "fBodyAccMag-meanFreq" "fBodyBodyAccJerkMag-mean" "fBodyBodyAccJerkMag-std" "fBodyBodyAccJerkMag-meanFreq" "fBodyBodyGyroMag-mean" "fBodyBodyGyroMag-std" "fBodyBodyGyroMag-meanFreq" "fBodyBodyGyroJerkMag-mean" "fBodyBodyGyroJerkMag-std" "fBodyBodyGyroJerkMag-meanFreq"
"partic_01_Laying" 0.253085976824074 -0.0318034976987963 -0.115332953111111 -0.949659973981481 -0.895701109268519 -0.897707558253704 -0.358538284203704 0.25183539975 0.189683627685185 -0.927818088425926 -0.939395068407407 -0.911805201592593 0.0771814856509259 0.0102078891858333 0.00886473868601852 -0.968967950648148 -0.947124534259259 -0.966348536759259 -0.0181657319842593 -0.0712240279309259 0.12507647737963 -0.920894064638889 -0.952470500462963 -0.942470257222222 -0.103531724218519 -0.0401008544712963 -0.0660076532314815 -0.94400610712963 -0.967216504814815 -0.971838588333333 -0.903609288564815 -0.873099436601852 -0.903609288564815 -0.873099436601852 -0.966124171018519 -0.949357280555556 -0.908502364166667 -0.877257741555555 -0.967418895740741 -0.948618140462963 -0.955255895555556 -0.913935995453704 -0.926507341018519 -0.947814981203704 -0.894097855592593 -0.891794173194444 -0.148979692457407 0.152859992650926 0.211823680425 -0.968856897962963 -0.946938912685185 -0.961235125555555 -0.972078597685185 -0.951499015462963 -0.970251157685185 0.0873821555273148 0.0342235767648148 0.0897586586731482 -0.90585653360463 -0.953522562407407 -0.941768251203704 -0.926466735092593 -0.952425048796296 -0.94811533 0.0363574033796296 -0.00407710920833333 0.0894897740712963 -0.909607154953704 -0.876710514351852 0.179842472501852 -0.952236695277778 -0.945204600740741 0.237624783342593 -0.902737801296296 -0.883061558092593 0.0515768941148148 -0.952361138703704 -0.947757964444444 0.190523407128704
"partic_01_Sitting" 0.266249669554455 -0.00865142910534653 -0.104388628326733 -0.98026199990099 -0.920138324633663 -0.954685274158416 0.810325500693069 0.073062009960396 0.262801197673267 -0.970954623465347 -0.935609524554455 -0.958588554158416 0.0775117818415842 0.00451242491881188 -0.00423813971683168 -0.98777574049505 -0.98104305960396 -0.98809525950495 -0.0442236278326733 -0.0791326803564356 0.0691678496138614 -0.983446312475247 -0.976043876633663 -0.951595051782178 -0.0933992874950495 -0.0406982624257426 -0.0478994832689109 -0.992049745742574 -0.991157543960396 -0.989178344653465 -0.955070472574257 -0.933810332871287 -0.955070472574257 -0.933810332871287 -0.987733128910891 -0.984702706633663 -0.938008489009901 -0.949786967227723 -0.992901904653465 -0.99011985 -0.982475920891089 -0.942141432376238 -0.967450506336634 -0.979529404158416 -0.914902779237624 -0.951392133960396 -0.0672108813945545 0.0502751702683168 0.236057237411609 -0.988076938712871 -0.981249793861386 -0.986055057425743 -0.98859327009901 -0.982263521485149 -0.988751763663366 0.222841251383168 0.00812393874564357 0.10583251410099 -0.981676895346535 -0.981367239108911 -0.958843425247525 -0.984217486633663 -0.973698197227723 -0.953809314455446 0.20249369416099 0.06558549 -0.0590079055148515 -0.951791801386139 -0.935431199306931 0.228587662762376 -0.985603596237624 -0.982494003762376 0.337368381217822 -0.967002953069307 -0.948377834158416 0.0029861327950495 -0.991077498019802 -0.98938043029703 0.269910175940594
"partic_01_Standing" 0.277889150206186 -0.0158673621701031 -0.109405319927835 -0.987886886391753 -0.948863856701031 -0.962309947010309 0.94796744927835 -0.168733748082474 0.0231104514329897 -0.992627376804124 -0.978588119896907 -0.968728662989691 0.0779176700103093 0.00975615787350516 -0.00421740494686598 -0.980863364123711 -0.965544783608247 -0.985074832989691 -0.0258918451231959 -0.0722274520824742 0.0877062729175258 -0.961201605360825 -0.974637283917526 -0.968414294948454 -0.101942855092784 -0.0409313088268041 -0.0532442699030928 -0.973631575257732 -0.986658663402062 -0.981649423814433 -0.969631514845361 -0.961676442268041 -0.969631514845361 -0.961676442268041 -0.98002784443299 -0.974481036494845 -0.955307324226804 -0.952288568762887 -0.984384505257732 -0.980978100103093 -0.983841631546392 -0.952715667216495 -0.971677640412371 -0.990095557938144 -0.949416447216495 -0.959866152783505 0.11945107072134 0.058463438557732 0.16899317899268 -0.980539170824742 -0.965808791752577 -0.982355580824742 -0.983070548659794 -0.967889189072165 -0.98648870556701 0.286566566721649 -0.0634702087505155 0.0782730192701031 -0.958090307525773 -0.975983746391753 -0.967229563608247 -0.962447436082474 -0.974085601237113 -0.971710905257732 -0.193548122543299 -0.098863253972165 0.010115021357732 -0.964832314536082 -0.965409838556701 0.196414752327835 -0.973985914329897 -0.974196604329897 0.320203345475258 -0.96337475 -0.953288763298969 -0.118368867847835 -0.981569428453608 -0.981237375360825 0.188841050173196
"partic_01_Walking" 0.277776000945946 -0.0172543741432432 -0.110399445810811 -0.246127976439189 0.0653272921418919 -0.308593510337838 0.945203297837838 -0.211138818878378 -0.0240446486216216 -0.975830942027027 -0.971237476283784 -0.951350412702703 0.0782503875283784 0.0196096099391892 -0.00851115217905405 -0.0916218554148649 0.0698952960756757 -0.505909553513514 -0.0230229605475 -0.0739791928650878 0.0898597636422297 -0.45228892804054 -0.124884891301689 -0.283480728621622 -0.101711982356081 -0.0441679671581081 -0.0515008907135135 -0.264232794135135 -0.377957600608108 -0.377334331824324 -0.133543987247297 -0.207482083287838 -0.133543987247297 -0.207482083287838 -0.138276090877088 -0.0343349617664865 -0.159360609459459 -0.263988356891892 -0.349433258466216 -0.388245561317568 -0.171064386277027 0.0767056900716216 -0.360431726216216 -0.278751504817568 -0.0105021066515541 -0.335414627175676 -0.227522765021622 0.159899754802703 0.124657578245541 -0.148127299513581 -0.0115435749568311 -0.467216306148649 -0.114093070382905 0.085878953317027 -0.543236130405405 -0.227478454916216 -0.301082094846689 -0.0991082764405405 -0.317145196662162 -0.189775158049324 -0.203151898065541 -0.495778781216216 -0.094703342729054 -0.378094145405405 -0.0239454807290541 -0.0859487506155405 -0.0459861768458784 -0.115874906422973 -0.388162897162162 0.186688828726351 -0.0293164767787838 -0.0484507690525 0.0346958194308108 -0.275660069349324 -0.385026857162162 0.218800814708514 -0.389410670331081 -0.430331074121622 0.122301517679054
"partic_01_Walking_downstairs" 0.289718256137931 -0.0143241339609195 -0.108999885631034 0.146087429759437 -0.0162052113908046 -0.209959354071839 0.935339408390805 -0.178382960137931 -0.0166983840908046 -0.945627587011494 -0.937012179195402 -0.898623949425287 0.0745984739195402 0.0214092716321839 -0.00611295661264368 0.090604269716092 -0.103094731641264 -0.333703177482759 -0.0742843207775862 -0.0978406413517241 0.0823794678293103 -0.391078401505747 -0.207179270252874 -0.0856540602126437 -0.0697736114796552 -0.0461512671321839 -0.0466991841965517 -0.456434632873563 -0.340519008034483 -0.250580842952874 0.124876890989885 0.0797731607666667 0.124876890989885 0.0797731607666667 -0.0282331918512644 0.0339050174977011 -0.0530747127218391 -0.249598188 -0.341933243149425 -0.388448739896552 0.115730004073563 0.00482432667655172 -0.195940536864368 0.155639142043678 -0.0912862825781609 -0.285155647241379 -0.313634122272414 0.0647484563367816 0.278050233186437 0.0636597409781609 -0.124664988006897 -0.267519602256322 0.0199151132463218 -0.142780930258621 -0.399287046896552 -0.246007869 -0.320194140931034 0.0135696784689655 -0.292130374480575 -0.150393647862069 -0.000855264806896553 -0.427324683091954 -0.252095722691954 -0.19998410276092 -0.133981925116092 0.0440659995862069 -0.0622306122045977 0.150540677113793 -0.131995489054023 0.138947879352069 0.0833318625252874 -0.0419947968712644 0.0977691040868965 -0.241028728649425 -0.393733483735632 0.230731709684908 -0.370295069191954 -0.458777444643678 0.185096701683793
"partic_01_Walking_upstairs" 0.2609419666 -0.0194563503661 -0.107114858902 -0.26394345769 -0.003839592615 -0.045045008362 0.9114507646 -0.2185277862 -0.02926975607523 -0.9577060788 -0.9454186198 -0.8899916315 0.084222524124 0.022844514301 -0.0482768129 -0.32482074299 -0.28405289501 -0.6600291971 0.061263188186 -0.13293631817 0.07227477619 -0.433792998217 0.021526806841 -0.41943878388 -0.138673260465 -0.0398391324375 -0.0387336746457 -0.526663781 -0.603074885 -0.5480110169 -0.0813929391436 -0.27165720820076 -0.0813929391436 -0.27165720820076 -0.37040470645 -0.360090352708 -0.046556891882 -0.1319076951332 -0.5613155137 -0.6343211205 -0.27981361719 -0.119580008474 -0.3712423539 -0.259656894236 -0.0127275400862 0.02946665383 -0.36311328596 -0.08683563711 -0.41194646755 -0.348904611617 -0.31635586583 -0.6233198212 -0.3611819345034 -0.297656025276 -0.69636155 -0.30808088959 -0.4443344018 -0.44651942558 -0.363790800949 -0.28017526632 -0.36390530547 -0.46033478153 0.16103143904 -0.4928015341 -0.2101582032616 -0.44906613656 -0.134363156974 -0.26519720984 -0.3904934951 -0.010488643036 -0.30677562537 -0.4396732931 0.1292421954305 -0.29748426632 -0.17545793223 -0.2076210090776 -0.6186465027 -0.6832897406 0.135104776038
"partic_02_Laying" 0.270090643760684 -0.0175883111203419 -0.10846532042735 -0.96967033 -0.960337968974359 -0.959527928974359 -0.259837176991453 0.871408142991453 0.195914040444444 -0.957459298290598 -0.982371176068376 -0.971603554615385 0.0811594084102564 0.00992435855119658 -0.000888935388478632 -0.977062787948718 -0.967578517606838 -0.976223334957265 -0.0168565874588034 -0.0630952437769231 0.148517904145299 -0.97327476017094 -0.967792002905983 -0.954902565811966 -0.100627105897436 -0.0411511368547008 -0.0673086470760684 -0.974275281538462 -0.978053235555556 -0.978038738376068 -0.963997331623932 -0.954251243504273 -0.963997331623932 -0.954251243504273 -0.976414323675214 -0.969364374786325 -0.941404183589744 -0.94497602025641 -0.980603566495727 -0.972956241623932 -0.969671684615385 -0.961076774188034 -0.963909114786325 -0.969878842649573 -0.961820442820513 -0.959725900940171 -0.151892109140171 0.220882512406838 0.198055410148718 -0.976606866410256 -0.968416258376068 -0.973198101111111 -0.979787977179487 -0.968982583247863 -0.977872639145299 0.129798156942051 -0.0073765401034188 0.0269059201025641 -0.966170248290598 -0.967215373504274 -0.953351764700855 -0.975670739230769 -0.968651936324786 -0.959717482136752 0.00839617816068376 0.0408762562683761 0.0684712742641026 -0.958544484222222 -0.958650803076923 0.205650519396838 -0.969508797179487 -0.96821703017094 0.224628521863248 -0.956018313418803 -0.947425860769231 0.0209110466263248 -0.974681796153846 -0.972462875470085 0.136376231877778
"partic_02_Sitting" 0.275813932019231 -0.0153460674064423 -0.109636540855769 -0.982684862211539 -0.924922649038462 -0.954292076730769 0.898574606346154 0.149640001532692 0.139509109971154 -0.986664046538462 -0.956584108269231 -0.964083706538462 0.0766436141057692 0.00508863584057692 0.00324392930432692 -0.978451614519231 -0.965433198461538 -0.981319154711539 -0.0411839604519231 -0.0753664208461538 0.0745420762307692 -0.981427242884615 -0.971582236923077 -0.95221084375 -0.0944794639326923 -0.0390196565586538 -0.0510416328548077 -0.984042372692308 -0.984039854230769 -0.979114779038462 -0.957167867019231 -0.946021239519231 -0.957167867019231 -0.946021239519231 -0.977089496538462 -0.973645788942308 -0.946991791346154 -0.953493742307692 -0.985043441057692 -0.982335486153846 -0.980591253942308 -0.938556130288462 -0.963916143461538 -0.983688781634615 -0.922983003173077 -0.95220805375 -0.00963338947086538 0.0505022724211538 0.112985442038462 -0.979006605865385 -0.965876350961538 -0.978391802115385 -0.97982902625 -0.967498299134615 -0.982907515576923 0.145871128886923 -0.0894442555009616 0.0106571594817308 -0.976977333173077 -0.973362787211538 -0.955073845192308 -0.982888260961538 -0.970811396057692 -0.955805869230769 0.0282982541090385 -0.147435147283654 -0.0630660700278846 -0.954477455673077 -0.949564152788462 0.103626775326923 -0.973549916057692 -0.972613920384615 0.223120181364423 -0.964264448173077 -0.954703901346154 -0.0752462956903846 -0.982954554711538 -0.982492873942308 0.160288309426827
"partic_02_Standing" 0.277540623888889 -0.0170303025972222 -0.106902024212963 -0.987221211481481 -0.940997241574074 -0.949275558398148 0.956946484444445 -0.198941424166667 0.0330230649948148 -0.989324523611111 -0.975080439259259 -0.961249471851852 0.0751362318611111 0.0110772573015741 -0.00477609451138889 -0.981181850925926 -0.964615918333333 -0.981900241666667 -0.029703247762037 -0.0728536719833333 0.0772169497685185 -0.925688588981482 -0.964421424444445 -0.963538643148148 -0.0984567615046296 -0.0403633342935185 -0.050108451212963 -0.969025954814815 -0.981803624074074 -0.981076148518518 -0.960344318148148 -0.954847796296296 -0.960344318148148 -0.954847796296296 -0.9776909575 -0.974069874444444 -0.928084724814815 -0.906582650555556 -0.979794565 -0.975264206666667 -0.984014964722222 -0.948410747685185 -0.964799538240741 -0.988837467685185 -0.940544378333333 -0.945422134537037 0.07467157895 -0.00360367021666667 0.172329938989815 -0.980855424722222 -0.964604525185185 -0.978667881851852 -0.983342150833333 -0.967336858518519 -0.983834591018518 0.266139857821296 -0.112101246703704 0.0589732617962963 -0.928592926759259 -0.968171863055556 -0.964857209537037 -0.926434498981482 -0.962823297685185 -0.966509206851852 -0.19270293537963 -0.0293843206530556 -0.0829983930935185 -0.961336022314815 -0.95791615037037 0.127921367916667 -0.972947403333333 -0.974535918240741 0.244705277324074 -0.937267214166667 -0.905477739814815 -0.168520143965741 -0.976081067037037 -0.975690139814815 0.106371782268519
"partic_02_Walking" 0.274256192293578 -0.0161491174190826 -0.10474988306422 -0.288005586190826 -0.084584192 -0.475571151376147 0.955828572201835 -0.186329163577982 0.0560084889633028 -0.980189136238532 -0.965496801376147 -0.956001098348624 0.0659037166256881 0.0159831316823853 -0.00492872773027523 -0.238144906633028 -0.139210853341743 -0.625068541651376 -0.0710510515320183 -0.0539594012761468 0.0915301664083899 -0.573372866513762 -0.47658680587156 -0.395642461302752 -0.0782509297284404 -0.0506995254311927 -0.039986125876422 -0.472437883853211 -0.666111616055046 -0.518769051284404 -0.202947819930275 -0.372706994779817 -0.202947819930275 -0.372706994779817 -0.28386151426055 -0.227519158917431 -0.391585477027523 -0.491778176605505 -0.578788242201835 -0.659735193394495 -0.239572221610092 -0.0776600507051376 -0.527376483577982 -0.308475765244954 -0.147940980611927 -0.490549036880734 -0.322148335788991 0.0753675645513762 0.100248046494312 -0.282785693825688 -0.195733994265229 -0.600296762385321 -0.25995967053211 -0.135259515650917 -0.648446130275229 -0.320248663761468 -0.334114774293578 -0.133500024615596 -0.463020566422018 -0.535666544954128 -0.361132395211009 -0.609385412477064 -0.44913802146789 -0.46355550266055 -0.0858750232651376 -0.172535520773394 -0.112431994753211 -0.318423209442202 -0.50392402293578 0.166373524231587 -0.227591497127523 -0.232358326190826 0.0541768557073395 -0.533287378899083 -0.551606344954128 0.026498910499633 -0.664419954678899 -0.677867618807339 0.0661872781634862
